customer_id,age,gender,income,subscription_type,contract_length,payment_method,monthly_usage_hours,customer_service_calls,has_loyalty_card,region,churned
1,56,Male,75648,Basic,Yearly,Bank Transfer,45,9,No,South,No
2,69,Male,133537,Basic,Monthly,Cash,43,0,Yes,North,No
3,46,Male,39516,Basic,Quarterly,Credit Card,13,3,No,West,No
4,32,Female,142863,Basic,Monthly,Credit Card,13,6,No,South,Yes
5,60,Male,145005,Premium,Quarterly,Bank Transfer,60,8,No,West,No
6,25,Male,32396,Standard,Quarterly,PayPal,57,4,No,South,No
7,38,Male,114082,Premium,Monthly,Bank Transfer,86,1,Yes,West,No
8,56,Female,49129,Basic,Yearly,Cash,92,6,No,South,No
9,36,Female,31591,Basic,Monthly,Bank Transfer,52,9,No,East,No
10,40,Male,41303,Standard,Monthly,Bank Transfer,53,0,Yes,West,No
11,28,Male,60561,Basic,Quarterly,Cash,86,6,Yes,South,Yes
12,28,Male,101719,Basic,Quarterly,Bank Transfer,43,5,Yes,South,No
13,41,Male,148618,Standard,Monthly,Credit Card,83,6,Yes,East,No
14,53,Female,122108,Basic,Monthly,PayPal,72,9,No,East,No
15,57,Female,129616,Standard,Monthly,Bank Transfer,72,2,No,East,No
16,41,Female,116231,Standard,Monthly,Cash,42,2,Yes,West,No
17,20,Female,37314,Basic,Quarterly,PayPal,90,6,Yes,West,Yes
18,39,Male,147071,Basic,Monthly,Cash,26,1,No,East,No
19,19,Male,49623,Standard,Monthly,PayPal,23,0,No,North,Yes
20,41,Male,97675,Basic,Monthly,PayPal,43,8,No,North,No
21,61,Female,142992,Basic,Monthly,Bank Transfer,77,8,No,South,No
22,47,Male,126826,Premium,Monthly,Credit Card,28,6,No,North,No
23,55,Female,95082,Basic,Quarterly,Bank Transfer,9,6,Yes,South,No
24,19,Female,113624,Standard,Yearly,Cash,20,2,Yes,West,No
25,38,Male,135228,Premium,Quarterly,Cash,56,9,No,West,No
26,50,Male,63130,Basic,Monthly,PayPal,83,1,No,North,No
27,29,Male,81756,Basic,Yearly,PayPal,39,6,No,West,No
28,39,Female,127624,Basic,Quarterly,Credit Card,51,8,No,East,No
29,61,Male,56292,Basic,Quarterly,Bank Transfer,12,0,No,East,Yes
30,42,Female,141785,Basic,Monthly,Cash,79,3,Yes,North,No
31,66,Male,116206,Standard,Monthly,PayPal,95,5,No,North,No
32,44,Female,99274,Basic,Monthly,Credit Card,55,6,Yes,South,No
33,59,Female,32469,Standard,Monthly,Cash,78,9,Yes,West,No
34,45,Male,83947,Premium,Monthly,PayPal,11,6,No,South,No
35,33,Female,52534,Premium,Monthly,Cash,26,9,No,South,No
36,32,Female,93620,Standard,Monthly,Credit Card,42,1,No,East,No
37,64,Male,78874,Basic,Quarterly,Credit Card,27,3,No,East,No
38,68,Female,79708,Standard,Monthly,Cash,11,4,Yes,East,No
39,61,Male,104553,Standard,Monthly,Bank Transfer,38,0,Yes,East,No
40,69,Female,98344,Basic,Yearly,Cash,98,0,No,South,No
41,20,Male,79138,Basic,Yearly,PayPal,43,9,No,East,No
42,54,Male,84302,Premium,Quarterly,Bank Transfer,19,2,No,West,No
43,68,Female,77638,Basic,Yearly,PayPal,64,9,No,East,Yes
44,24,Female,108249,Basic,Monthly,Cash,6,2,No,East,No
45,38,Female,135865,Basic,Yearly,Bank Transfer,46,7,No,East,No
46,26,Female,32719,Basic,Monthly,PayPal,42,8,Yes,North,No
47,56,Female,52890,Premium,Monthly,Cash,92,0,No,West,No
48,35,Male,107236,Standard,Monthly,Cash,65,1,No,West,No
49,21,Female,66509,Standard,Monthly,Bank Transfer,99,9,Yes,South,No
50,42,Male,72534,Basic,Monthly,Cash,72,1,No,South,No
51,31,Male,132302,Basic,Quarterly,Credit Card,59,3,No,East,No
52,67,Female,122241,Basic,Quarterly,PayPal,52,1,No,North,Yes
53,26,Male,48787,Basic,Monthly,PayPal,47,6,Yes,South,No
54,43,Male,78845,Basic,Monthly,Cash,7,8,No,South,No
55,19,Male,87932,Standard,Quarterly,Cash,11,6,Yes,East,No
56,37,Male,122124,Basic,Quarterly,Credit Card,61,5,No,East,No
57,45,Female,121659,Standard,Monthly,Bank Transfer,68,9,Yes,South,No
58,64,Male,63062,Basic,Quarterly,Cash,25,0,Yes,South,No
59,24,Female,105713,Basic,Monthly,Cash,12,9,No,West,No
60,61,Female,117263,Basic,Monthly,Cash,26,8,No,North,No
61,25,Male,125756,Premium,Yearly,Cash,12,4,Yes,West,No
62,64,Female,90461,Premium,Monthly,PayPal,43,4,Yes,South,No
63,52,Female,105418,Premium,Monthly,Cash,51,5,No,West,No
64,31,Female,96672,Basic,Yearly,PayPal,37,8,No,West,No
65,34,Male,64832,Basic,Quarterly,Cash,46,7,No,South,No
66,53,Female,61966,Standard,Monthly,Bank Transfer,53,7,Yes,East,No
67,67,Female,102545,Basic,Monthly,Credit Card,88,7,No,South,No
68,57,Female,42987,Premium,Monthly,Bank Transfer,80,0,Yes,East,No
69,21,Male,67311,Basic,Quarterly,Cash,13,0,Yes,South,No
70,19,Female,61575,Basic,Monthly,Cash,89,7,No,South,No
71,23,Male,93852,Basic,Monthly,Cash,54,4,No,South,Yes
72,59,Male,31007,Basic,Yearly,Bank Transfer,57,8,No,North,No
73,21,Male,100981,Standard,Monthly,Cash,4,1,No,East,No
74,46,Male,106242,Basic,Monthly,Bank Transfer,75,8,No,North,Yes
75,35,Male,77517,Basic,Monthly,PayPal,96,7,No,South,No
