age,is_male,income,monthly_usage_hours,customer_service_calls,has_loyalty_card,churned,subscription_type_Premium,subscription_type_Standard,contract_length_Quarterly,contract_length_Yearly,payment_method_Cash,payment_method_Credit Card,payment_method_PayPal,region_North,region_South,region_West,engagement_score,high_value,risk_score,usage_per_age,low_engagement
56,1,75648,45,9,0,0,0,0,0,1,0,0,0,0,1,0,4.5,False,5,0.7894736842105263,0
69,1,133537,43,0,1,0,0,0,0,0,1,0,0,1,0,0,43.0,False,0,0.6142857142857143,0
46,1,39516,13,3,0,0,0,0,1,0,0,1,0,0,0,1,3.25,False,5,0.2765957446808511,1
32,0,142863,13,6,0,1,0,0,0,0,0,1,0,0,1,0,1.8571428571428572,False,5,0.3939393939393939,1
60,1,145005,60,8,0,0,1,0,1,0,0,0,0,0,0,1,6.666666666666667,True,7,0.9836065573770492,0
25,1,32396,57,4,0,0,0,1,1,0,0,0,1,0,1,0,11.4,False,5,2.1923076923076925,0
38,1,114082,86,1,1,0,1,0,0,0,0,0,0,0,0,1,43.0,True,0,2.2051282051282053,0
56,0,49129,92,6,0,0,0,0,0,1,1,0,0,0,1,0,13.142857142857142,False,5,1.6140350877192982,0
36,0,31591,52,9,0,0,0,0,0,0,0,0,0,0,0,0,5.2,False,5,1.4054054054054055,0
40,1,41303,53,0,1,0,0,1,0,0,0,0,0,0,0,1,53.0,False,0,1.2926829268292683,0
28,1,60561,86,6,1,1,0,0,1,0,1,0,0,0,1,0,12.285714285714286,False,4,2.9655172413793105,0
28,1,101719,43,5,1,0,0,0,1,0,0,0,0,0,1,0,7.166666666666667,False,2,1.4827586206896552,0
41,1,148618,83,6,1,0,0,1,0,0,0,1,0,0,0,0,11.857142857142858,False,2,1.9761904761904763,0
53,0,122108,72,9,0,0,0,0,0,0,0,0,1,0,0,0,7.2,False,5,1.3333333333333333,0
57,0,129616,72,2,0,0,0,1,0,0,0,0,0,0,0,0,24.0,False,3,1.2413793103448276,0
41,0,116231,42,2,1,0,0,1,0,0,1,0,0,0,0,1,14.0,False,0,1.0,0
20,0,37314,90,6,1,1,0,0,1,0,0,0,1,0,0,1,12.857142857142858,False,4,4.285714285714286,0
39,1,147071,26,1,0,0,0,0,0,0,1,0,0,0,0,0,13.0,False,3,0.65,1
19,1,49623,23,0,0,1,0,1,0,0,0,0,1,1,0,0,23.0,False,3,1.15,1
41,1,97675,43,8,0,0,0,0,0,0,0,0,1,1,0,0,4.777777777777778,False,5,1.0238095238095237,0
61,0,142992,77,8,0,0,0,0,0,0,0,0,0,0,1,0,8.555555555555555,False,5,1.2419354838709677,0
47,1,126826,28,6,0,0,1,0,0,0,0,1,0,1,0,0,4.0,True,5,0.5833333333333334,1
55,0,95082,9,6,1,0,0,0,1,0,0,0,0,0,1,0,1.2857142857142858,False,4,0.16071428571428573,1
19,0,113624,20,2,1,0,0,1,0,1,1,0,0,0,0,1,6.666666666666667,False,0,1.0,1
38,1,135228,56,9,0,0,1,0,1,0,1,0,0,0,0,1,5.6,True,7,1.435897435897436,0
50,1,63130,83,1,0,0,0,0,0,0,0,0,1,1,0,0,41.5,False,3,1.6274509803921569,0
29,1,81756,39,6,0,0,0,0,0,1,0,0,1,0,0,1,5.571428571428571,False,5,1.3,0
39,0,127624,51,8,0,0,0,0,1,0,0,1,0,0,0,0,5.666666666666667,False,7,1.275,0
61,1,56292,12,0,0,1,0,0,1,0,0,0,0,0,0,0,12.0,False,5,0.1935483870967742,1
42,0,141785,79,3,1,0,0,0,0,0,1,0,0,1,0,0,19.75,False,0,1.8372093023255813,0
66,1,116206,95,5,0,0,0,1,0,0,0,0,1,1,0,0,15.833333333333334,False,3,1.4179104477611941,0
44,0,99274,55,6,1,0,0,0,0,0,0,1,0,0,1,0,7.857142857142857,False,2,1.2222222222222223,0
59,0,32469,78,9,1,0,0,1,0,0,1,0,0,0,0,1,7.8,False,2,1.3,0
45,1,83947,11,6,0,0,1,0,0,0,0,0,1,0,1,0,1.5714285714285714,False,5,0.2391304347826087,1
33,0,52534,26,9,0,0,1,0,0,0,1,0,0,0,1,0,2.6,False,5,0.7647058823529411,1
32,0,93620,42,1,0,0,0,1,0,0,0,1,0,0,0,0,21.0,False,3,1.2727272727272727,0
64,1,78874,27,3,0,0,0,0,1,0,0,1,0,0,0,0,6.75,False,5,0.4153846153846154,1
68,0,79708,11,4,1,0,0,1,0,0,1,0,0,0,0,0,2.2,False,0,0.15942028985507245,1
